combo_id,strategy_id,strategy_name,symbol,timeframe,strategy_type,param1_name,param1_value,param2_name,param2_value,total_return,total_return_pct,cagr,cagr_pct,sharpe,sharpe_ratio,sortino,sortino_ratio,max_drawdown,max_drawdown_pct,profit_factor,win_rate,win_rate_pct,trades,total_trades,expectancy,avg_trade,exposure,exposure_time_pct,volatility,ending_equity,selected_for_dashboard
rsi_mean_reversion__14__20,rsi_mean_reversion,RSI Mean Reversion,BTCUSDT,1m,Mean Reversion,rsi_length,14.0,oversold_threshold,20.0,0.003190217472295531,0.3190217472295531,2.198160903095509,219.81609030955093,13.91929294528658,13.91929294528658,6.483044989197622,6.483044989197622,-0.003549880844983422,-0.3549880844983422,11.241770195593206,0.6666666666666666,66.66666666666666,3,3,645.4047228004007,645.4047228004007,0.05347222222222222,5.347222222222222,0.08377469913338688,1003190.2174722955,False
rsi_mean_reversion__14__25,rsi_mean_reversion,RSI Mean Reversion,BTCUSDT,1m,Mean Reversion,rsi_length,14.0,oversold_threshold,25.0,-0.0019535752150292574,-0.19535752150292574,-0.5101971741931817,-51.01971741931817,-5.310157231423504,-5.310157231423504,-3.0486833098505923,-3.0486833098505923,-0.00473912567742385,-0.473912567742385,2.251484063626729,0.75,75.0,8,8,475.1454843436368,475.1454843436368,0.15347222222222223,15.347222222222223,0.1327531913742613,998046.4247849707,False
rsi_mean_reversion__14__30,rsi_mean_reversion,RSI Mean Reversion,BTCUSDT,1m,Mean Reversion,rsi_length,14.0,oversold_threshold,30.0,-0.004670048476392852,-0.4670048476392852,-0.8188736339189462,-81.88736339189462,-9.439854168215595,-9.439854168215595,-8.065283060398736,-8.065283060398736,-0.008897702828808418,-0.8897702828808418,1.1580966423632726,0.6190476190476191,61.904761904761905,21,21,73.60284037906344,73.60284037906344,0.3034722222222222,30.34722222222222,0.179291495841592,995329.9515236071,False
rsi_mean_reversion__14__35,rsi_mean_reversion,RSI Mean Reversion,BTCUSDT,1m,Mean Reversion,rsi_length,14.0,oversold_threshold,35.0,-0.013616620301368454,-1.3616620301368454,-0.9932903903609064,-99.32903903609063,-24.070233365458407,-24.070233365458407,-25.03544932220401,-25.03544932220401,-0.015830830449690914,-1.5830830449690914,1.054019172479741,0.6060606060606061,60.60606060606061,33,33,21.48061000162764,21.48061000162764,0.4548611111111111,45.48611111111111,0.2070094057402557,986383.3796986316,False
rsi_mean_reversion__14__40,rsi_mean_reversion,RSI Mean Reversion,BTCUSDT,1m,Mean Reversion,rsi_length,14.0,oversold_threshold,40.0,-0.02383164220875511,-2.383164220875511,-0.9998498501171073,-99.98498501171072,-37.072768227075,-37.072768227075,-46.93036758844674,-46.93036758844674,-0.02535000833108092,-2.535000833108092,0.6518194381925108,0.6153846153846154,61.53846153846154,52,52,-180.30321166920925,-180.30321166920925,0.6326388888888889,63.263888888888886,0.2367178458130158,976168.3577912449,False
rsi_mean_reversion__20__20,rsi_mean_reversion,RSI Mean Reversion,BTCUSDT,1m,Mean Reversion,rsi_length,20.0,oversold_threshold,20.0,0.0018154790259192755,0.18154790259192755,0.9387609007269087,93.87609007269087,13.994084426776148,13.994084426776148,4.571255306632122,4.571255306632122,-0.0009032564153363953,-0.09032564153363953,999999.0,1.0,100.0,1,1,2178.0851628858363,2178.0851628858363,0.014583333333333334,1.4583333333333333,0.04738940594060191,1001815.4790259192,False
rsi_mean_reversion__20__25,rsi_mean_reversion,RSI Mean Reversion,BTCUSDT,1m,Mean Reversion,rsi_length,20.0,oversold_threshold,25.0,0.0037845573692207868,0.3784557369220787,2.9699602876632722,296.99602876632724,16.403792385397388,16.403792385397388,7.685168331181761,7.685168331181761,-0.003549880844984088,-0.3549880844984088,14.372071213873364,0.6666666666666666,66.66666666666666,3,3,843.1658617718689,843.1658617718689,0.05486111111111111,5.486111111111111,0.08426750528199319,1003784.5573692208,True
rsi_mean_reversion__20__30,rsi_mean_reversion,RSI Mean Reversion,BTCUSDT,1m,Mean Reversion,rsi_length,20.0,oversold_threshold,30.0,-0.0006910730807857535,-0.06910730807857535,-0.22301083500611396,-22.301083500611398,-1.9909973947334871,-1.9909973947334871,-0.9522897967780724,-0.9522897967780724,-0.004558819383096435,-0.4558819383096435,2.787499604440502,0.8333333333333334,83.33333333333334,6,6,744.8591844706874,744.8591844706874,0.10902777777777778,10.902777777777779,0.1229393858622329,999308.9269192142,False
rsi_mean_reversion__20__35,rsi_mean_reversion,RSI Mean Reversion,BTCUSDT,1m,Mean Reversion,rsi_length,20.0,oversold_threshold,35.0,-0.0013711280681243387,-0.13711280681243387,-0.3939574963780389,-39.39574963780389,-2.693784392273402,-2.693784392273402,-2.346920132090492,-2.346920132090492,-0.006356656152839313,-0.6356656152839313,1.7163127527027868,0.8,80.0,20,20,297.3351498571166,297.3351498571166,0.33055555555555555,33.05555555555556,0.1799040933101547,998628.8719318757,False
rsi_mean_reversion__20__40,rsi_mean_reversion,RSI Mean Reversion,BTCUSDT,1m,Mean Reversion,rsi_length,20.0,oversold_threshold,40.0,-0.014856850447113157,-1.4856850447113157,-0.9957610360415747,-99.57610360415747,-24.38804192864225,-24.38804192864225,-28.246360727740683,-28.246360727740683,-0.017136885967916182,-1.7136885967916182,0.747131574257793,0.5757575757575758,57.57575757575758,33,33,-143.1447783967085,-143.1447783967085,0.5423611111111111,54.23611111111111,0.2230004363276397,985143.1495528868,False
