combo_id,strategy_id,strategy_name,param1_name,param1_value,param2_name,param2_value,metric_name,metric_value
bollinger_mean_reversion__50__1p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,50.0,std_dev,1.5,max_drawdown_pct,-1.6621265776746053
bollinger_mean_reversion__50__1p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,50.0,std_dev,1.5,profit_factor,0.8567291899067312
bollinger_mean_reversion__50__2,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,50.0,std_dev,2.0,sharpe_ratio,-18.075700207149882
bollinger_mean_reversion__50__2,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,50.0,std_dev,2.0,total_return_pct,-1.0951865887113166
bollinger_mean_reversion__50__2,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,50.0,std_dev,2.0,max_drawdown_pct,-1.5365880201665072
bollinger_mean_reversion__50__2,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,50.0,std_dev,2.0,profit_factor,0.7210024512936197
bollinger_mean_reversion__50__2p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,50.0,std_dev,2.5,sharpe_ratio,-12.250488331965803
bollinger_mean_reversion__50__2p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,50.0,std_dev,2.5,total_return_pct,-0.5847419266958864
bollinger_mean_reversion__50__2p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,50.0,std_dev,2.5,max_drawdown_pct,-0.8811650752879263
bollinger_mean_reversion__50__2p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,50.0,std_dev,2.5,profit_factor,0.9334967426147178
bollinger_mean_reversion__50__3,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,50.0,std_dev,3.0,sharpe_ratio,-2.0160240451851
bollinger_mean_reversion__50__3,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,50.0,std_dev,3.0,total_return_pct,-0.080200585223833
bollinger_mean_reversion__50__3,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,50.0,std_dev,3.0,max_drawdown_pct,-0.5126958881140675
bollinger_mean_reversion__50__3,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,50.0,std_dev,3.0,profit_factor,1.0433426252369462
bollinger_mean_reversion__50__3p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,50.0,std_dev,3.5,sharpe_ratio,6.908475989934768
bollinger_mean_reversion__50__3p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,50.0,std_dev,3.5,total_return_pct,0.16847491547304916
bollinger_mean_reversion__50__3p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,50.0,std_dev,3.5,max_drawdown_pct,-0.42598798521364944
bollinger_mean_reversion__50__3p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,50.0,std_dev,3.5,profit_factor,999999.0
rsi_mean_reversion__7__20,rsi_mean_reversion,RSI Mean Reversion,rsi_length,7.0,oversold_threshold,20.0,sharpe_ratio,-18.2534093226165
rsi_mean_reversion__7__20,rsi_mean_reversion,RSI Mean Reversion,rsi_length,7.0,oversold_threshold,20.0,total_return_pct,-0.7386859783138688
rsi_mean_reversion__7__20,rsi_mean_reversion,RSI Mean Reversion,rsi_length,7.0,oversold_threshold,20.0,max_drawdown_pct,-0.8385385092362418
rsi_mean_reversion__7__20,rsi_mean_reversion,RSI Mean Reversion,rsi_length,7.0,oversold_threshold,20.0,profit_factor,0.9525484780802015
rsi_mean_reversion__7__25,rsi_mean_reversion,RSI Mean Reversion,rsi_length,7.0,oversold_threshold,25.0,sharpe_ratio,-25.75921978559393
rsi_mean_reversion__7__25,rsi_mean_reversion,RSI Mean Reversion,rsi_length,7.0,oversold_threshold,25.0,total_return_pct,-1.2724843187596813
rsi_mean_reversion__7__25,rsi_mean_reversion,RSI Mean Reversion,rsi_length,7.0,oversold_threshold,25.0,max_drawdown_pct,-1.3753054335847836
rsi_mean_reversion__7__25,rsi_mean_reversion,RSI Mean Reversion,rsi_length,7.0,oversold_threshold,25.0,profit_factor,1.0744432370330435
rsi_mean_reversion__7__30,rsi_mean_reversion,RSI Mean Reversion,rsi_length,7.0,oversold_threshold,30.0,sharpe_ratio,-43.941199896234046
rsi_mean_reversion__7__30,rsi_mean_reversion,RSI Mean Reversion,rsi_length,7.0,oversold_threshold,30.0,total_return_pct,-2.4705497850476155
rsi_mean_reversion__7__30,rsi_mean_reversion,RSI Mean Reversion,rsi_length,7.0,oversold_threshold,30.0,max_drawdown_pct,-2.528953021433211
rsi_mean_reversion__7__30,rsi_mean_reversion,RSI Mean Reversion,rsi_length,7.0,oversold_threshold,30.0,profit_factor,0.6373557147928635
rsi_mean_reversion__7__35,rsi_mean_reversion,RSI Mean Reversion,rsi_length,7.0,oversold_threshold,35.0,sharpe_ratio,-67.51091526376692
rsi_mean_reversion__7__35,rsi_mean_reversion,RSI Mean Reversion,rsi_length,7.0,oversold_threshold,35.0,total_return_pct,-4.266420056448695
rsi_mean_reversion__7__35,rsi_mean_reversion,RSI Mean Reversion,rsi_length,7.0,oversold_threshold,35.0,max_drawdown_pct,-4.302891514636609
rsi_mean_reversion__7__35,rsi_mean_reversion,RSI Mean Reversion,rsi_length,7.0,oversold_threshold,35.0,profit_factor,0.4981589414397081
rsi_mean_reversion__7__40,rsi_mean_reversion,RSI Mean Reversion,rsi_length,7.0,oversold_threshold,40.0,sharpe_ratio,-89.89278948427479
rsi_mean_reversion__7__40,rsi_mean_reversion,RSI Mean Reversion,rsi_length,7.0,oversold_threshold,40.0,total_return_pct,-6.116645527443188
rsi_mean_reversion__7__40,rsi_mean_reversion,RSI Mean Reversion,rsi_length,7.0,oversold_threshold,40.0,max_drawdown_pct,-6.152412108398442
rsi_mean_reversion__7__40,rsi_mean_reversion,RSI Mean Reversion,rsi_length,7.0,oversold_threshold,40.0,profit_factor,0.3558902550230301
rsi_mean_reversion__10__20,rsi_mean_reversion,RSI Mean Reversion,rsi_length,10.0,oversold_threshold,20.0,sharpe_ratio,-2.657253930731568
rsi_mean_reversion__10__20,rsi_mean_reversion,RSI Mean Reversion,rsi_length,10.0,oversold_threshold,20.0,total_return_pct,-0.09602337280503193
rsi_mean_reversion__10__20,rsi_mean_reversion,RSI Mean Reversion,rsi_length,10.0,oversold_threshold,20.0,max_drawdown_pct,-0.4843394666199652
rsi_mean_reversion__10__20,rsi_mean_reversion,RSI Mean Reversion,rsi_length,10.0,oversold_threshold,20.0,profit_factor,2.8125896898268596
rsi_mean_reversion__10__25,rsi_mean_reversion,RSI Mean Reversion,rsi_length,10.0,oversold_threshold,25.0,sharpe_ratio,-9.983705681656021
rsi_mean_reversion__10__25,rsi_mean_reversion,RSI Mean Reversion,rsi_length,10.0,oversold_threshold,25.0,total_return_pct,-0.42138555055406535
rsi_mean_reversion__10__25,rsi_mean_reversion,RSI Mean Reversion,rsi_length,10.0,oversold_threshold,25.0,max_drawdown_pct,-0.6751287331166367
rsi_mean_reversion__10__25,rsi_mean_reversion,RSI Mean Reversion,rsi_length,10.0,oversold_threshold,25.0,profit_factor,1.529875434502442
rsi_mean_reversion__10__30,rsi_mean_reversion,RSI Mean Reversion,rsi_length,10.0,oversold_threshold,30.0,sharpe_ratio,-19.76355994246031
rsi_mean_reversion__10__30,rsi_mean_reversion,RSI Mean Reversion,rsi_length,10.0,oversold_threshold,30.0,total_return_pct,-1.0206649561649517
rsi_mean_reversion__10__30,rsi_mean_reversion,RSI Mean Reversion,rsi_length,10.0,oversold_threshold,30.0,max_drawdown_pct,-1.2642737235513346
rsi_mean_reversion__10__30,rsi_mean_reversion,RSI Mean Reversion,rsi_length,10.0,oversold_threshold,30.0,profit_factor,1.1609050723620535
rsi_mean_reversion__10__35,rsi_mean_reversion,RSI Mean Reversion,rsi_length,10.0,oversold_threshold,35.0,sharpe_ratio,-34.38999796987737
rsi_mean_reversion__10__35,rsi_mean_reversion,RSI Mean Reversion,rsi_length,10.0,oversold_threshold,35.0,total_return_pct,-2.031805524489494
rsi_mean_reversion__10__35,rsi_mean_reversion,RSI Mean Reversion,rsi_length,10.0,oversold_threshold,35.0,max_drawdown_pct,-2.1816441370832163
rsi_mean_reversion__10__35,rsi_mean_reversion,RSI Mean Reversion,rsi_length,10.0,oversold_threshold,35.0,profit_factor,0.7973175042819322
rsi_mean_reversion__10__40,rsi_mean_reversion,RSI Mean Reversion,rsi_length,10.0,oversold_threshold,40.0,sharpe_ratio,-54.46541523991353
rsi_mean_reversion__10__40,rsi_mean_reversion,RSI Mean Reversion,rsi_length,10.0,oversold_threshold,40.0,total_return_pct,-3.6313522818807953
rsi_mean_reversion__10__40,rsi_mean_reversion,RSI Mean Reversion,rsi_length,10.0,oversold_threshold,40.0,max_drawdown_pct,-3.7893974032674915
rsi_mean_reversion__10__40,rsi_mean_reversion,RSI Mean Reversion,rsi_length,10.0,oversold_threshold,40.0,profit_factor,0.659014997341499
rsi_mean_reversion__14__20,rsi_mean_reversion,RSI Mean Reversion,rsi_length,14.0,oversold_threshold,20.0,sharpe_ratio,13.91929294528658
rsi_mean_reversion__14__20,rsi_mean_reversion,RSI Mean Reversion,rsi_length,14.0,oversold_threshold,20.0,total_return_pct,0.3190217472295531
rsi_mean_reversion__14__20,rsi_mean_reversion,RSI Mean Reversion,rsi_length,14.0,oversold_threshold,20.0,max_drawdown_pct,-0.3549880844983422
rsi_mean_reversion__14__20,rsi_mean_reversion,RSI Mean Reversion,rsi_length,14.0,oversold_threshold,20.0,profit_factor,11.241770195593206
rsi_mean_reversion__14__25,rsi_mean_reversion,RSI Mean Reversion,rsi_length,14.0,oversold_threshold,25.0,sharpe_ratio,-5.310157231423504
rsi_mean_reversion__14__25,rsi_mean_reversion,RSI Mean Reversion,rsi_length,14.0,oversold_threshold,25.0,total_return_pct,-0.19535752150292574
rsi_mean_reversion__14__25,rsi_mean_reversion,RSI Mean Reversion,rsi_length,14.0,oversold_threshold,25.0,max_drawdown_pct,-0.473912567742385
rsi_mean_reversion__14__25,rsi_mean_reversion,RSI Mean Reversion,rsi_length,14.0,oversold_threshold,25.0,profit_factor,2.251484063626729
rsi_mean_reversion__14__30,rsi_mean_reversion,RSI Mean Reversion,rsi_length,14.0,oversold_threshold,30.0,sharpe_ratio,-9.439854168215595
rsi_mean_reversion__14__30,rsi_mean_reversion,RSI Mean Reversion,rsi_length,14.0,oversold_threshold,30.0,total_return_pct,-0.4670048476392852
rsi_mean_reversion__14__30,rsi_mean_reversion,RSI Mean Reversion,rsi_length,14.0,oversold_threshold,30.0,max_drawdown_pct,-0.8897702828808418
rsi_mean_reversion__14__30,rsi_mean_reversion,RSI Mean Reversion,rsi_length,14.0,oversold_threshold,30.0,profit_factor,1.1580966423632726
rsi_mean_reversion__14__35,rsi_mean_reversion,RSI Mean Reversion,rsi_length,14.0,oversold_threshold,35.0,sharpe_ratio,-24.070233365458407
rsi_mean_reversion__14__35,rsi_mean_reversion,RSI Mean Reversion,rsi_length,14.0,oversold_threshold,35.0,total_return_pct,-1.3616620301368454
rsi_mean_reversion__14__35,rsi_mean_reversion,RSI Mean Reversion,rsi_length,14.0,oversold_threshold,35.0,max_drawdown_pct,-1.5830830449690914
